Название,Адрес,Город,Номер телефона,Вебсайт,Cсылка
Кавалер,"ул. Ворошилова, 130A",Москва,+7 496 739-60-59,,https://www.google.com/maps/place/%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B5%D1%80/data=!4m7!3m6!1s0x4135115c2d322f15:0x628428b35c0d5186!8m2!3d54.920373!4d37.435948!16s%2Fg%2F119vfs30x!19sChIJFS8yLVwRNUERhlENXLMohGI?authuser=0&hl=ru&rclk=1
ArtClassic Мужская Одежда,"ТЦ «Октябрьский», Октябрьский пр., 9B",Москва,+7 496 764-81-15,,https://www.google.com/maps/place/ArtClassic+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414aa9d3251c319f:0x859635891430df7f!8m2!3d55.4265691!4d37.5043953!16s%2Fg%2F11cn9jd_h6!19sChIJnzEcJdOpSkERf98wFIk1loU?authuser=0&hl=ru&rclk=1
Artclassic Мужская Одежда,"Симферопольская ул., 35",Москва,+7 916 498-50-13,,https://www.google.com/maps/place/Artclassic+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x4135582fa403a60f:0x99ae728322c7f44!8m2!3d55.3680732!4d37.532665!16s%2Fg%2F11cnbwcg1k!19sChIJD6YDpC9YNUERRH8sMijnmgk?authuser=0&hl=ru&rclk=1
Climber B.C.,"Борисовское ш., 1",Москва,+7 968 129-53-22,,https://www.google.com/maps/place/Climber+B.C./data=!4m7!3m6!1s0x413511435b9fec59:0x681779114a5ab65d!8m2!3d54.917341!4d37.425452!16s%2Fg%2F11b8_mj88r!19sChIJWeyfW0MRNUERXbZaShF5F2g?authuser=0&hl=ru&rclk=1
Мужской костюм,"Изюмская ул., 50",Москва,+7 495 717-29-45,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC/data=!4m7!3m6!1s0x414aac30cb3f951b:0x41debc3c1cfc757f!8m2!3d55.543886!4d37.560243!16s%2Fg%2F1tz948zq!19sChIJG5U_yzCsSkERf3X8HDy83kE?authuser=0&hl=ru&rclk=1
ArtClassic Мужская Одежда,"Революционный просп., 49/107",Москва,+7 929 663-19-01,,https://www.google.com/maps/place/ArtClassic+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414aa846593e5053:0x17329217d2f55333!8m2!3d55.4330742!4d37.5486357!16s%2Fg%2F11g9qm_tt6!19sChIJU1A-WUaoSkERM1P10heSMhc?authuser=0&hl=ru&rclk=1
Baggi мужские костюмы,"Варшавское ш., 87",Москва,+7 985 998-61-90,,https://www.google.com/maps/place/Baggi+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b54adb9d12367d:0xfd94a144c4cdcd7c!8m2!3d55.6537029!4d37.6204378!16s%2Fg%2F1q66ndp_k!19sChIJfTYSndtKtUYRfM3NxEShlP0?authuser=0&hl=ru&rclk=1
Мужские костюмы,"ТЦ ""Обувь Сити"", отдел 44, пр. Вернадского, 14А",Москва,,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b54c5556e31391:0xcb8b7a53558f8e7d!8m2!3d55.67792!4d37.5076969!16s%2Fg%2F1pp2th3xh!19sChIJkRPjVlVMtUYRfY6PVVN6i8s?authuser=0&hl=ru&rclk=1
Cavaliere,"ул. Вавилова, 66",Москва,+7 495 220-63-50,,https://www.google.com/maps/place/Cavaliere/data=!4m7!3m6!1s0x46b536528fde8a97:0xdb710afa00c9aba8!8m2!3d55.6829785!4d37.5498351!16s%2Fg%2F1tgxs671!19sChIJl4rej1I2tUYRqKvJAPoKcds?authuser=0&hl=ru&rclk=1
Сударь,"ул. Покрышкина, 5 м",Москва,+7 499 928-35-13,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b54d989b7c3483:0xef7cfa7d5c38df62!8m2!3d55.664436!4d37.4692159!16s%2Fg%2F12hnrf3_3!19sChIJgzR8m5hNtUYRYt84XH36fO8?authuser=0&hl=ru&rclk=1
Магазин мужских костюмов suit-shop,"г. Москва, ул. Кожевническая, д. 1 с1, офис 605",Москва,+7 499 703-00-35,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+suit-shop/data=!4m7!3m6!1s0x46b54b3487b7d733:0x73b8c401d4bd7cd3!8m2!3d55.730899!4d37.641739!16s%2Fg%2F11hdxzz435!19sChIJM9e3hzRLtUYR03y91AHEuHM?authuser=0&hl=ru&rclk=1
RENTSUIT Прокат мужских костюмов и смокингов,"ул. Большая Полянка, 43 стр. 2",Москва,+7 901 531-95-91,,https://www.google.com/maps/place/RENTSUIT+%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+%D0%B8+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54956079fe4ff:0xd7e87089c563c96b!8m2!3d55.7333959!4d37.6201121!16s%2Fg%2F11j4lmb0j1!19sChIJ_-SfB1ZJtUYRa8ljxYlw6Nc?authuser=0&hl=ru&rclk=1
Мкостюм,"Кожевническая ул., 7, строен. 1",Москва,+7 495 737-03-07,,https://www.google.com/maps/place/%D0%9C%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC/data=!4m7!3m6!1s0x46b54b1f8c8a217b:0xf52f0530775057b0!8m2!3d55.730205!4d37.6454098!16s%2Fg%2F12qgd51ll!19sChIJeyGKjB9LtUYRsFdQdzAFL_U?authuser=0&hl=ru&rclk=1
MAGMEN,"ул. Ленина, 61/5",Москва,+7 484 256-40-65,,https://www.google.com/maps/place/MAGMEN/data=!4m7!3m6!1s0x4134bbd4072fd8d3:0x7a84b9a40610bfd6!8m2!3d54.5179246!4d36.2672452!16s%2Fg%2F12qf5d4c6!19sChIJ09gvB9S7NEER1r8QBqS5hHo?authuser=0&hl=ru&rclk=1
Barleone Мужские Костюмы,"1/2с2, Таганская ул.",Москва,+7 985 177-14-43,,https://www.google.com/maps/place/Barleone+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b54ae884cc0db3:0x2e74b1540bf735a3!8m2!3d55.7414141!4d37.657366!16s%2Fg%2F11t5_9w002!19sChIJsw3MhOhKtUYRozX3C1SxdC4?authuser=0&hl=ru&rclk=1
Levelsuit,"пер. Столешников, 6 строение 3",Москва,+7 499 938-50-63,,https://www.google.com/maps/place/Levelsuit/data=!4m7!3m6!1s0x46b54a44449fd457:0x2916f7ea49aa9ce5!8m2!3d55.761468!4d37.6120889!16s%2Fg%2F11f2wcxw3p!19sChIJV9SfRERKtUYR5ZyqSer3Fik?authuser=0&hl=ru&rclk=1
Магазин мужских костюмов PROVOKATOR,"Марксистская ул., 34 корпус 7",Москва,+7 499 350-41-77,,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+PROVOKATOR/data=!4m7!3m6!1s0x46b54be84d62a089:0x2c1f48363f4b3785!8m2!3d55.7360065!4d37.6636429!16s%2Fg%2F11sv9pgmck!19sChIJiaBiTehLtUYRhTdLPzZIHyw?authuser=0&hl=ru&rclk=1
Большевичка,"ул. Академика Бочвара, д. 10А",Москва,+7 499 193-11-85,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b54827e8ea1b1d:0xcee47ba81a62b1!8m2!3d55.8032099!4d37.453902!16s%2Fg%2F1tp06sd6!19sChIJHRvq6CdItUYRsWIaqHvkzgA?authuser=0&hl=ru&rclk=1
Сударь,"пр. Ленина, 107/49",Москва,+7 495 181-56-06,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414aa84657688d21:0x2bc8700b93c43fe4!8m2!3d55.432944!4d37.548357!16s%2Fg%2F11c0q17ps4!19sChIJIY1oV0aoSkER5D_EkwtwyCs?authuser=0&hl=ru&rclk=1
Милорд,"ул. Суворова, 112",Москва,+7 484 279-19-99,,https://www.google.com/maps/place/%D0%9C%D0%B8%D0%BB%D0%BE%D1%80%D0%B4/data=!4m7!3m6!1s0x4134bbd2eaa7d37d:0x8b005449ac53c6dc!8m2!3d54.5164541!4d36.2569461!16s%2Fg%2F12qgy6ft2!19sChIJfdOn6tK7NEER3MZTrElUAIs?authuser=0&hl=ru&rclk=1
Suitberg - Мужской Шоу-рум,"Нижний Сусальный пер., 5 стр.17",Москва,+7 499 490-29-42,,https://www.google.com/maps/place/Suitberg+-+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%A8%D0%BE%D1%83-%D1%80%D1%83%D0%BC/data=!4m7!3m6!1s0x46b549fdc713f417:0xb26d368c70e1ffd3!8m2!3d55.7594423!4d37.6646901!16s%2Fg%2F1tc_cybn!19sChIJF_QTx_1JtUYR0__hcIw2bbI?authuser=0&hl=ru&rclk=1
Blacktux Прокат мужских костюмов и смокингов,"Спартаковский пер., 2с1",Москва,+7 495 777-26-15,,https://www.google.com/maps/place/Blacktux+%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+%D0%B8+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b53581cf51a22d:0x9ef3d7693af0e014!8m2!3d55.7781066!4d37.6713066!16s%2Fg%2F11hbkpc_57!19sChIJLaJRz4E1tUYRFODwOmnX854?authuser=0&hl=ru&rclk=1
KANZLER,"ТЦ Мега Теплый Стан, с1, Калужское ш., 21-й километр",Москва,+7 495 540-03-90,,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b5531555555555:0x4c563fad35323579!8m2!3d55.6031957!4d37.4925802!16s%2Fg%2F1td7gdqj!19sChIJVVVVVRVTtUYReTUyNa0_Vkw?authuser=0&hl=ru&rclk=1
Большевичка,"Перовская ул., д. 58",Москва,+7 495 368-60-24,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x414aca9099810ae9:0x2183f382a61ab9c3!8m2!3d55.745133!4d37.7914384!16s%2Fg%2F1thvfh5f!19sChIJ6QqBmZDKSkERw7kapoLzgyE?authuser=0&hl=ru&rclk=1
VEYMS - Прокат смокингов и мужских костюмов,"Кривоарбатский пер., 12",Москва,+7 925 311-08-88,,https://www.google.com/maps/place/VEYMS+-+%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2+%D0%B8+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2/data=!4m7!3m6!1s0x414ab534c859811f:0x2a020cd63f9265dd!8m2!3d55.7479054!4d37.5891875!16s%2Fg%2F11gjmbjztc!19sChIJH4FZyDS1SkER3WWSP9YMAio?authuser=0&hl=ru&rclk=1
Мишелин,"Малый Каретный пер., 11с1, 2 этаж",Москва,+7 495 699-90-78,,https://www.google.com/maps/place/%D0%9C%D0%B8%D1%88%D0%B5%D0%BB%D0%B8%D0%BD/data=!4m7!3m6!1s0x46b54a6ae6644509:0xb1f5a3899d6d0481!8m2!3d55.771386!4d37.6152429!16s%2Fg%2F1tfz_rp2!19sChIJCUVk5mpKtUYRgQRtnYmj9bE?authuser=0&hl=ru&rclk=1
Мужской мир,"Комсомольская пл., 6с1",Москва,+7 495 607-90-07,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BC%D0%B8%D1%80/data=!4m7!3m6!1s0x46b54a7f24480d55:0xc19730eadead8ebd!8m2!3d55.776171!4d37.659891!16s%2Fg%2F1s047806g!19sChIJVQ1IJH9KtUYRvY6t3uowl8E?authuser=0&hl=ru&rclk=1
TOPSUIT.RU,"Ленинский пр-т., 71",Москва,+7 985 443-61-18,,https://www.google.com/maps/place/TOPSUIT.RU/data=!4m7!3m6!1s0x46b54c8d4573914d:0x12e14f9fa86a83a1!8m2!3d55.688905!4d37.5496301!16s%2Fg%2F11f2715lyc!19sChIJTZFzRY1MtUYRoYNqqJ9P4RI?authuser=0&hl=ru&rclk=1
Marc De Cler,"Дубининская ул., 11/17",Москва,+7 800 500-52-03,,https://www.google.com/maps/place/Marc+De+Cler/data=!4m7!3m6!1s0x46b54b18cccfbf1f:0x93b66f09f5551303!8m2!3d55.7279705!4d37.6375399!16s%2Fg%2F11j8rlwkfc!19sChIJH7_PzBhLtUYRAxNV9QlvtpM?authuser=0&hl=ru&rclk=1
Мужские костюмы оптом,"Чистопрудный бул., 23с1",Москва,+7 495 143-34-73,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+%D0%BE%D0%BF%D1%82%D0%BE%D0%BC/data=!4m7!3m6!1s0x46b54a8a866abd5f:0x51e99d9c0d706e79!8m2!3d55.7606529!4d37.6464054!16s%2Fg%2F11j7ddn415!19sChIJX71qhopKtUYReW5wDZyd6VE?authuser=0&hl=ru&rclk=1
KANZLER,Калуга улица Кирова 1 ТРЦ XXI век,Москва,+7 484 253-15-40,,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x4134bbeb08e04367:0xb25daa99052b94fb!8m2!3d54.5160927!4d36.2467847!16s%2Fg%2F11hzwh4chk!19sChIJZ0PgCOu7NEER-5QrBZmqXbI?authuser=0&hl=ru&rclk=1
Мужской магазин Men's Look store,"Новодмитровская ул., 1 стр.13",Москва,+7 495 664-41-24,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+Men%27s+Look+store/data=!4m7!3m6!1s0x46b537727095ed9f:0xd045fd6f6994ec5!8m2!3d55.807325!4d37.5836711!16s%2Fg%2F11h5s47v6p!19sChIJn-2VcHI3tUYRxU6Z9tZfBA0?authuser=0&hl=ru&rclk=1
KANZLER,"вл8к1, ТЦ Vnukovo Outlet Village",Москва,+7 495 280-16-59,,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b553c1fc20219b:0x358facdcae3c808f!8m2!3d55.6094623!4d37.3330783!16s%2Fg%2F11csqd30f9!19sChIJmyEg_MFTtUYRj4A8rtysjzU?authuser=0&hl=ru&rclk=1
Прикольная одежда для всей семьи Cloudberry,"ул. Энгельса, 6, кв. 116",Москва,+7 905 642-44-66,,https://www.google.com/maps/place/%D0%9F%D1%80%D0%B8%D0%BA%D0%BE%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%B4%D0%BB%D1%8F+%D0%B2%D1%81%D0%B5%D0%B9+%D1%81%D0%B5%D0%BC%D1%8C%D0%B8+Cloudberry/data=!4m7!3m6!1s0x46cacd7c25512543:0x22b9c862b23902a7!8m2!3d55.11854!4d36.618586!16s%2Fg%2F11g9mh1y_t!19sChIJQyVRJXzNykYRpwI5smLIuSI?authuser=0&hl=ru&rclk=1
Мужские Костюмы,"ТЦ ""Кондор, ул. Менжинского, 32",Москва,+7 916 956-14-73,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b536c83f608c47:0x3fe1054c1a74d845!8m2!3d55.869604!4d37.666763!16s%2Fg%2F11fylpyz0g!19sChIJR4xgP8g2tUYRRdh0GkwF4T8?authuser=0&hl=ru&rclk=1
Сударь,"Можайское ш., 133а, ТЦ Вeстор",Москва,+7 495 989-03-09,,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x46b55031729d5f09:0x91e41ab4ee572c82!8m2!3d55.6844533!4d37.2961645!16s%2Fg%2F11cnxnyz0j!19sChIJCV-dcjFQtUYRgixX7rQa5JE?authuser=0&hl=ru&rclk=1
Trimforti,"Никольская ул., 25",Москва,+7 495 664-38-11,,https://www.google.com/maps/place/Trimforti/data=!4m7!3m6!1s0x46b54a5c77a36bd3:0x35db5917af51e373!8m2!3d55.759236!4d37.625067!16s%2Fg%2F1tfxfb_c!19sChIJ02ujd1xKtUYRc-NRrxdZ2zU?authuser=0&hl=ru&rclk=1
Дом одежды Diboni,"ул. Суворова, 119",Москва,+7 800 600-17-00,,https://www.google.com/maps/place/%D0%94%D0%BE%D0%BC+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+Diboni/data=!4m7!3m6!1s0x4134bbd2fae275a3:0xbcd70cd565ac833b!8m2!3d54.5166865!4d36.2588445!16s%2Fg%2F12qgdm7gm!19sChIJo3Xi-tK7NEERO4OsZdUM17w?authuser=0&hl=ru&rclk=1
Волшебная Свадьба for Men,"Нижний Сусальный пер., 5 строение 17, 4 этаж",Москва,+7 499 504-98-10,,https://www.google.com/maps/place/%D0%92%D0%BE%D0%BB%D1%88%D0%B5%D0%B1%D0%BD%D0%B0%D1%8F+%D0%A1%D0%B2%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0+for+Men/data=!4m7!3m6!1s0x46b549fde727bd77:0xd9f88fcb7e6a2890!8m2!3d55.7594284!4d37.6647171!16s%2Fg%2F1q67kqj0f!19sChIJd70n5_1JtUYRkChqfsuP-Nk?authuser=0&hl=ru&rclk=1
Kings-man прокат мужских костюмов и смокингов,"ул. Сретенка, 27/29",Москва,+7 499 404-15-97,,https://www.google.com/maps/place/Kings-man+%D0%BF%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+%D0%B8+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2/data=!4m7!3m6!1s0x414ab5bdb7dc18ef:0xf3b44b9ce6c542a!8m2!3d55.771234!4d37.632211!16s%2Fg%2F11g7zf21ch!19sChIJ7xjct721SkERKlRszrlEOw8?authuser=0&hl=ru&rclk=1
Galardi,"Тихорецкий б-р, 1",Москва,+7 926 914-61-41,,https://www.google.com/maps/place/Galardi/data=!4m7!3m6!1s0x46b54b65ecdd2ff3:0xab9472f2e66ddba9!8m2!3d55.673555!4d37.78074!16s%2Fg%2F11r91gtlv!19sChIJ8y_d7GVLtUYRqdtt5vJylKs?authuser=0&hl=ru&rclk=1
Большевичка,"Каланчевская ул., д. 17, стр. 1",Москва,+7 499 975-43-03,,https://www.google.com/maps/place/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%BA%D0%B0/data=!4m7!3m6!1s0x46b54a7b884ef7c3:0x4e8e16ddf1b19c6c!8m2!3d55.7734572!4d37.6522784!16s%2Fg%2F1tglll03!19sChIJw_dOiHtKtUYRbJyx8d0Wjk4?authuser=0&hl=ru&rclk=1
Кингсман Прокат мужских костюмов и смокингов,"ул. Ленинская Слобода, 17",Москва,+7 499 404-15-77,,https://www.google.com/maps/place/%D0%9A%D0%B8%D0%BD%D0%B3%D1%81%D0%BC%D0%B0%D0%BD+%D0%9F%D1%80%D0%BE%D0%BA%D0%B0%D1%82+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D1%85+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D0%BE%D0%B2+%D0%B8+%D1%81%D0%BC%D0%BE%D0%BA%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2/data=!4m7!3m6!1s0x46b54b75d176fbd1:0x76eaf71e362a939b!8m2!3d55.7097366!4d37.6568639!16s%2Fg%2F11hyt9y9db!19sChIJ0ft20XVLtUYRm5MqNh736nY?authuser=0&hl=ru&rclk=1
Мужские костюмы MenSuitsDiscount,"Сосновая аллея, 601А 2, й этаж",Москва,+7 499 113-63-73,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+MenSuitsDiscount/data=!4m7!3m6!1s0x46b515ca340804c3:0xf8a6d47111dadff3!8m2!3d55.98924!4d37.227441!16s%2Fg%2F11fnw0k5lw!19sChIJwwQINMoVtUYR89_aEXHUpvg?authuser=0&hl=ru&rclk=1
